t-SNE1,t-SNE2,Image,ecco_id,estc_id,total_price
-0.37151602,0.9802927,133230130002490,1332301300,N36448,36.0
-0.37151602,0.9802927,133230130002490,1332301300,N36448,36.0
-0.30264163,0.816686,133230130002600,1332301300,N36448,36.0
1.922666,-0.7716013,036220180002570,362201800,T133351,18.0
1.7857108,-0.6901287,036220180001840,362201800,T133351,18.0
0.099892184,1.6529546,126280120000170,1262801200,N3839,60.0
-0.19492349,1.6940279,157060010104080,1570600101,T59882,600.0
-0.9199385,-1.081054,171230130100330,1712301301,T77908,90.0
-0.9199385,-1.081054,171230130100330,1712301301,T77908,90.0
-1.2407463,-0.90617,171230130100210,1712301301,T77908,90.0
-1.2407463,-0.90617,171230130100210,1712301301,T77908,90.0
-0.7622232,-0.20576654,161490070000010,1614900700,T187187,19.5
-1.3151474,-0.88140506,171230130100990,1712301301,T77908,90.0
-0.29310748,1.595172,157060010201290,1570600102,T59882,600.0
-0.3485234,-0.9083622,126280120000390,1262801200,N3839,60.0
0.020288283,-0.29224443,126280120000510,1262801200,N3839,60.0
1.6797508,-0.9623097,036220180001930,362201800,T133351,18.0
-1.1358378,-0.4425806,171230130100490,1712301301,T77908,90.0
-1.1358378,-0.4425806,171230130100490,1712301301,T77908,90.0
2.068377,-0.37101018,013910020001280,139100200,T18586,180.0
-0.24579152,1.6513957,157060010204130,1570600102,T59882,600.0
-1.2724183,-0.8327604,171230130100260,1712301301,T77908,90.0
-1.2724183,-0.8327604,171230130100260,1712301301,T77908,90.0
0.67404515,0.23320147,013910020001510,139100200,T18586,180.0
0.61455303,0.07263664,085750090003030,857500900,T210906,30.0
-0.18906446,1.7984016,026020040000310,260200400,T63197,324.0
0.100599706,-0.050633553,086730020000500,867300200,T66029,54.0
0.100599706,-0.050633553,086730020000500,867300200,T66029,54.0
-0.9800971,-0.45746353,171230130101170,1712301301,T77908,90.0
-0.9800971,-0.45746353,171230130101170,1712301301,T77908,90.0
-0.05932739,0.8721939,133230130002750,1332301300,N36448,36.0
0.040090576,-0.2526497,018010030002660,180100300,T87972,72.0
-0.40086126,-0.9489481,126280120000130,1262801200,N3839,60.0
-0.40086126,-0.9489481,126280120000130,1262801200,N3839,60.0
1.860494,-0.69348997,036220180002200,362201800,T133351,18.0
0.25251955,1.9190235,155720010403700,1557200104,T192639,756.0
-1.1930737,-0.30143893,171230130101190,1712301301,T77908,90.0
-1.1930737,-0.30143893,171230130101190,1712301301,T77908,90.0
-0.7677561,-0.21612607,132290010000010,1322900100,T203494,30.0
-0.56649506,-0.31766963,171230130100930,1712301301,T77908,90.0
-0.56649506,-0.31766963,171230130100930,1712301301,T77908,90.0
-0.1291606,-0.67201,126280120000210,1262801200,N3839,60.0
-0.18731552,-0.7666493,126280120000600,1262801200,N3839,60.0
-0.9258508,-0.15702683,171230130101260,1712301301,T77908,90.0
-0.9258508,-0.15702683,171230130101260,1712301301,T77908,90.0
1.6624553,-0.7959369,036220180001790,362201800,T133351,18.0
-0.70352304,1.6141428,155720010300060,1557200103,T192639,756.0
-0.5964091,1.4796375,157060010201020,1570600102,T59882,600.0
-0.056581587,-0.51636046,126280120000120,1262801200,N3839,60.0
-0.7711629,-0.09295727,038810010003820,388100100,T144534,60.0
-0.06767789,-0.76094663,126280120000590,1262801200,N3839,60.0
0.7302295,0.07775117,085750090003000,857500900,T210906,30.0
-1.2008669,-0.71081674,171230130101050,1712301301,T77908,90.0
-1.2008669,-0.71081674,171230130101050,1712301301,T77908,90.0
-0.8793175,-0.7377115,171230130100600,1712301301,T77908,90.0
-0.8793175,-0.7377115,171230130100600,1712301301,T77908,90.0
-0.747028,1.5413722,007880010002870,78800100,T83708,36.0
1.5069664,-1.2801269,168150010000350,1681500100,T167430,48.0
-0.12357836,1.6852005,157060010200510,1570600102,T59882,600.0
-0.6277075,1.5839362,157060010203510,1570600102,T59882,600.0
1.6424371,-0.85538065,036220180000830,362201800,T133351,18.0
-1.2269874,-0.77474463,171230130100700,1712301301,T77908,90.0
-1.2269874,-0.77474463,171230130100700,1712301301,T77908,90.0
-0.8946859,-0.5676399,171230130101030,1712301301,T77908,90.0
-0.8946859,-0.5676399,171230130101030,1712301301,T77908,90.0
-0.17772263,0.6761398,133230130001770,1332301300,N36448,36.0
-1.0115194,-0.82754123,171230130100640,1712301301,T77908,90.0
-1.0115194,-0.82754123,171230130100640,1712301301,T77908,90.0
0.868091,-1.5042683,123130120000350,1231301200,N9842,12.0
0.868091,-1.5042683,123130120000350,1231301200,N9842,12.0
0.868091,-1.5042683,123130120000350,1231301200,N9842,12.0
-0.8998212,-0.9222588,171230130101020,1712301301,T77908,90.0
-0.8998212,-0.9222588,171230130101020,1712301301,T77908,90.0
-0.7072054,0.40869108,155720010400020,1557200104,T192639,756.0
1.6205322,-0.77808374,036220180000570,362201800,T133351,18.0
1.8462545,-0.6387657,036220180002100,362201800,T133351,18.0
-1.330732,-0.59072196,171230130100590,1712301301,T77908,90.0
-1.330732,-0.59072196,171230130100590,1712301301,T77908,90.0
0.54284346,0.2083934,086730020001150,867300200,T66029,54.0
1.4660348,-1.2486672,168150010000240,1681500100,T167430,48.0
-0.5625762,0.7741954,133230130000710,1332301300,N36448,36.0
0.59241307,0.16806014,086730020001100,867300200,T66029,54.0
0.22261584,1.9213896,155720010403760,1557200104,T192639,756.0
-1.1899347,-1.1886607,171230130100850,1712301301,T77908,90.0
-1.1899347,-1.1886607,171230130100850,1712301301,T77908,90.0
1.6753949,-0.7407143,036220180001300,362201800,T133351,18.0
-0.9556816,-0.862761,171230130101280,1712301301,T77908,90.0
-0.9556816,-0.862761,171230130101280,1712301301,T77908,90.0
-0.038964987,1.2262359,081130040002850,811300400,T82160,252.0
-0.5260393,1.2658213,018010030003500,180100300,T87972,72.0
0.8580207,-1.591243,009960420000270,99604200,N3021,12.0
-1.1002327,-0.78708684,171230130100220,1712301301,T77908,90.0
-1.1002327,-0.78708684,171230130100220,1712301301,T77908,90.0
-0.7289466,1.5341783,133230130001320,1332301300,N36448,36.0
-1.3141624,-0.59971833,171230130100430,1712301301,T77908,90.0
-1.3141624,-0.59971833,171230130100430,1712301301,T77908,90.0
-0.18475114,1.729444,157060010101670,1570600101,T59882,600.0
0.77445924,0.17233972,013910020001600,139100200,T18586,180.0
-0.56851524,1.3844739,155720010102990,1557200101,T192639,756.0
-1.2594386,-0.6190312,171230130100240,1712301301,T77908,90.0
-1.2594386,-0.6190312,171230130100240,1712301301,T77908,90.0
-0.14774522,-0.7894502,126280120000370,1262801200,N3839,60.0
-1.4339399,-0.69094414,171230130100190,1712301301,T77908,90.0
-1.4339399,-0.69094414,171230130100190,1712301301,T77908,90.0
-0.58079123,1.6631393,157060010203370,1570600102,T59882,600.0
1.4004347,-1.1974387,168150010000220,1681500100,T167430,48.0
1.4004347,-1.1974387,168150010000220,1681500100,T167430,48.0
-1.0087867,-1.0379664,171230130100400,1712301301,T77908,90.0
-1.0087867,-1.0379664,171230130100400,1712301301,T77908,90.0
-0.13845043,-0.5400551,126280120000650,1262801200,N3839,60.0
-0.13845043,-0.5400551,126280120000650,1262801200,N3839,60.0
1.4209723,-1.3045101,168150010000280,1681500100,T167430,48.0
-0.11833892,1.6701975,157060010201940,1570600102,T59882,600.0
1.5954981,-0.6279098,036220180001180,362201800,T133351,18.0
-1.2557626,-0.7929142,171230130100670,1712301301,T77908,90.0
-1.2557626,-0.7929142,171230130100670,1712301301,T77908,90.0
-1.4572697,-1.0334935,171230130101100,1712301301,T77908,90.0
-1.4572697,-1.0334935,171230130101100,1712301301,T77908,90.0
-0.39886943,1.7923611,157060010100400,1570600101,T59882,600.0
-0.66503805,0.8901212,133230130001230,1332301300,N36448,36.0
-0.66503805,0.8901212,133230130001230,1332301300,N36448,36.0
-0.89962304,-0.8481583,171230130100270,1712301301,T77908,90.0
-0.89962304,-0.8481583,171230130100270,1712301301,T77908,90.0
1.4756335,-1.2704142,168150010000270,1681500100,T167430,48.0
-1.0214863,-0.77017796,171230130101160,1712301301,T77908,90.0
-1.0214863,-0.77017796,171230130101160,1712301301,T77908,90.0
-0.12838128,-0.7158579,126280120000310,1262801200,N3839,60.0
-0.12838128,-0.7158579,126280120000310,1262801200,N3839,60.0
1.4603795,-0.56290907,036220180000340,362201800,T133351,18.0
