ecco_id,image_count
0026100300,1
0026100600,1
0026100700,2
0026102700,1
0026105000,1
0026105500,5
0026105600,4
0026105800,8
0026105900,8
0026106000,2
0026106200,2
0026106400,1
0026106500,1
0026106800,1
0026107100,2
0026107200,1
0026107500,1
0026107800,2
0026108100,1
0026108200,2
0026200200,55
0026200300,35
0026200400,2
0026200600,3
0026200800,4
0026201200,1
0026202000,2
0026202100,2
0026202700,8
0026202800,4
0026300300,3
0026300400,4
0026300700,1
0026301000,2
0026301100,1
0026301800,2
0026302700,1
0026400300,3
0026400600,2
0026400700,13
0026400800,3
0026400900,1
0026401200,4
0026401600,1
0026401700,3
0026401900,1
0026402400,2
0026402600,1
0026402800,3
0026403000,2
0026403100,1
0026500100,1
0026500300,1
0026500600,2
0026501100,5
0026501300,2
0026501500,3
0026501800,24
0026502200,2
0026502300,3
0026502500,1
0026502600,13
0026502900,2
0026503000,2
0026503100,5
0026503200,1
0026700200,13
0026700300,7
0026700700,3
0026700900,2
0026701000,2
0026701100,2
0026701200,2
0026701300,1
0026701400,5
0026800100,1
0026800200,1
0026800300,1
0026800400,4
0026800500,1
0026800600,1
0026801000,1
0026801100,3
0026801300,3
0026801400,6
0026801600,17
0026801800,10
0026802100,2
0026802200,4
0026802400,1
0026802500,22
0026802600,2
0026802700,3
0026802800,1
0026803100,2
0026803200,2
0026803400,4
0026803500,1
0026803600,2
0026803700,51
0026803800,4
0026804000,7
0026804200,3
0026804400,1
0026804700,1
0026900400,2
0026900600,11
0026901000,2
0026901100,6
0027000101,8
0027000102,6
0027000200,1
0027000400,23
0027100100,7
0027100300,143
0027100400,41
0027100500,1
0027100600,25
0027100900,1
0027101000,10
0027101400,9
0027101500,11
0027101600,1
0027101700,15
0027101800,65
0027101900,1
0027102000,26
0027200100,13
0027200200,1
0027201100,9
0027201200,11
0027201300,18
0027201400,5
0027201800,28
0027201900,16
0027300201,1
0027300202,1
0027300301,15
0027300302,3
0027400100,2
0027400200,1
0027400301,9
0027400302,3
0027400303,4
0027400304,3
0027400305,3
0027400306,4
0027500107,9
0027500200,40
0027500301,44
0027500302,38
0027500501,1
0027500502,2
0027500600,4
0027500800,3
0027600101,1
0027600102,2
0027600200,28
0027600300,2
0027600500,3
0027700200,4
0027700401,2
0027700600,6
0027900101,27
0027900102,25
0027900401,6
0027900402,5
0028000101,19
0028000102,15
0028000103,7
0028000104,14
0028000201,1
0028000303,1
0028100200,3
0028100500,1
0028100700,1
0028101400,1
0028101600,2
0028101900,2
0028102000,5
0028102400,5
0028102500,4
0028102600,2
0028102700,3
0028102800,2
0028102900,3
0028103000,1
0028103100,1
0028103200,1
0028103600,1
0028103700,7
0028104000,3
0028104100,2
0028104200,1
0028200300,1
0028200400,2
0028200500,1
0028200600,3
0028200700,6
0028201100,1
0028201600,1
0028202000,1
0028202100,2
0028202400,1
0028300100,29
0028300200,3
0028300500,4
0028300600,18
0028301000,3
0028301100,3
0028301400,2
0028301601,2
0028301602,35
0028301700,1
0028301800,3
0028302000,1
0028302100,1
0028302300,3
0028400100,24
0028400200,1
0028400300,22
0028400401,2
0028400402,3
0028400601,26
0028400602,40
0028400700,3
0028400800,88
0028400901,4
0028400902,2
0028600200,23
0028600401,1
0028700101,18
0028700102,14
